"Story","Title","Result","Date","Stability","Duration (s)"
"Technical Test","Register an appointment on the heroku page","PENDING","2024-08-04T21:35:04.025742-05:00[America/Bogota]","0.0","0.22"
"Technical Test","Register an appointment on the heroku page","SUCCESS","2024-08-05T01:43:16.8966206-05:00[America/Bogota]","0.0","14.75"
